userId,userAge,country,movieId,movieGenres,rating,timestamp
186,39,Anguilla,302,Crime Film-Noir Mystery Thriller,3,891717742
244,28,Italy,51,Drama Romance War Western,2,880606923
298,44,Uruguay,474,Sci-Fi War,4,884182806
253,26,Macedonia,465,Adventure Children's Romance,5,891628467
6,42,Bolivia,86,Drama,3,883603013
286,27,Azerbaijan,1014,Comedy,5,879781125
210,39,Azerbaijan,40,Comedy,3,891035994
303,19,Anguilla,785,Comedy Romance,3,879485318
194,38,Brazil,274,Comedy Romance,2,879539794
234,60,Macedonia,1184,Documentary,2,892079237
167,37,American Samoa,486,Comedy Romance,4,892738452
291,19,Uruguay,118,Action Adventure Thriller,2,874833878
95,31,Uruguay,546,Action Thriller,2,879196566
102,38,Azerbaijan,768,Adventure Children's,2,883748450
160,27,Uruguay,234,Action Horror,5,876861185
301,24,Saint Helena,98,Drama Thriller,4,882075827
290,40,Brazil,88,Comedy Romance,4,880731963
157,57,Argentina,274,Comedy Romance,4,886890835
278,37,Azerbaijan,603,Mystery Thriller,5,891295330
7,57,Anguilla,32,Documentary,4,891350932
284,40,American Samoa,304,Adventure Children's,4,885329322
276,21,Bhutan,564,Comedy Horror,3,874791805
246,19,Azerbaijan,201,Action Adventure Comedy Horror,5,884921594
249,25,Saudi Arabia,241,Action Romance War,5,879641194
178,26,American Samoa,332,Crime Drama Thriller,3,882823437
81,21,Saint Helena,432,Animation Children's Musical,2,876535131
25,39,American Samoa,181,Action Adventure Romance Sci-Fi War,5,885853415
72,48,Bhutan,679,Action Adventure,2,880037164
290,40,Brazil,143,Musical,5,880474293
292,35,Italy,515,Action Drama War,4,881103977
20,42,Argentina,288,Horror Thriller,1,879667584
13,47,Macedonia,526,Action Adventure Drama,3,882141053
138,46,Saint Helena,26,Comedy,5,879024232
60,50,Tuvalu,427,Drama,5,883326620
223,19,Montenegro,274,Comedy Romance,4,891550094
243,33,Anguilla,15,Drama,3,879987440
246,19,Azerbaijan,416,Children's Drama,3,884923047
241,26,Bhutan,690,Drama War,2,887249482
254,44,Tuvalu,1444,Children's Comedy Mystery,3,886475558
127,33,Tuvalu,229,Action Adventure Sci-Fi,5,884364867
299,29,Saint Helena,229,Action Adventure Sci-Fi,3,878192429
276,21,Bhutan,54,Action Drama Thriller,3,874791025
222,29,China,366,Drama,4,878183381
42,30,Saint Helena,403,Action Adventure Crime Drama,3,881108684
95,31,Uruguay,625,Animation Children's,4,888954412
162,25,Bolivia,25,Comedy,4,877635573
279,33,Saudi Arabia,154,Comedy,5,875296291
119,32,Montenegro,1153,Drama Musical,5,874781198
62,27,China,382,Comedy Drama,3,879375537
135,23,Uruguay,23,Drama Thriller,4,879857765
90,60,Bhutan,382,Comedy Drama,5,891383835
293,24,Anguilla,685,Action Thriller,3,888905170
166,47,Brazil,328,Action Mystery Romance Thriller,5,886397722
271,51,China,132,Adventure Children's Drama Musical,5,885848672
265,26,Saint Helena,118,Action Adventure Thriller,4,875320714
42,30,Saint Helena,96,Action Sci-Fi Thriller,5,881107178
110,19,Bhutan,307,Crime Horror Mystery Thriller,4,886987260
90,60,Bhutan,648,Comedy Romance,4,891384754
62,27,China,21,Action Adventure Comedy Musical Thriller,3,879373460
237,49,American Samoa,514,Comedy Romance,4,879376641
128,24,Argentina,485,Musical Romance,3,879966895
44,26,Uruguay,195,Action Sci-Fi Thriller,5,878347874
194,38,Brazil,385,Action Adventure Comedy Romance,2,879524643
222,29,China,750,Drama,5,883815120
41,33,Bhutan,265,Action Thriller,3,890687042
82,50,China,135,Drama Mystery Sci-Fi Thriller,3,878769629
293,24,Anguilla,471,Drama War,3,888904884
250,29,Bolivia,140,Adventure Children's,3,878092059
286,27,Azerbaijan,379,Horror,5,877533771
7,57,Anguilla,479,Mystery Thriller,4,891352010
87,47,American Samoa,274,Comedy Romance,4,879876734
82,50,China,1134,Drama,2,884714402
